uid,tid,ft,y
69,1,6,10.55348014831543
69,2,6,11.138080596923828
69,3,6,10.83089828491211
69,4,6,11.042960166931152
69,5,6,11.187804222106934
69,6,6,11.127317428588867
69,7,6,11.408014297485352
69,8,6,11.137201309204102
69,9,6,11.746588706970215
69,10,6,11.597219467163086
69,11,6,12.416513442993164
69,12,6,11.499650001525879
70,1,2,14.783092498779297
70,2,2,15.275983810424805
70,3,2,15.431496620178223
70,4,2,15.578067779541016
70,5,2,15.933399200439453
70,6,2,15.862181663513184
70,7,2,15.937407493591309
70,8,2,16.09506607055664
70,9,2,16.229116439819336
70,10,2,16.23600196838379
70,11,2,16.523944854736328
70,12,2,16.343496322631836
71,1,10,0.0
71,2,10,0.0
71,3,10,6.794615745544434
71,4,10,13.840490341186523
71,5,10,8.730527877807617
71,6,10,6.840599060058594
71,7,10,5.136380672454834
71,8,10,9.14003849029541
71,9,10,8.696427345275879
71,10,10,12.728272438049316
71,11,10,11.161337852478027
71,12,10,10.910918235778809
72,1,12,7.310096263885498
72,2,12,9.018521308898926
72,3,12,9.258289337158203
72,4,12,9.459806442260742
72,5,12,8.971900939941406
72,6,12,8.857261657714844
72,7,12,10.353975296020508
72,8,12,9.340787887573242
72,9,12,9.000975608825684
72,10,12,13.091896057128906
72,11,12,10.965063095092773
72,12,12,9.539806365966797
73,1,11,12.255060195922852
73,2,11,12.449034690856934
73,3,11,12.490772247314453
73,4,11,12.375925064086914
73,5,11,12.538769721984863
73,6,11,12.716867446899414
73,7,11,13.14302921295166
73,8,11,13.586170196533203
73,9,11,10.364387512207031
73,10,11,14.193406105041504
73,11,11,14.487805366516113
73,12,11,13.799540519714355
74,1,12,8.664494514465332
74,2,12,10.81525707244873
74,3,12,7.882077693939209
74,4,12,6.212193965911865
74,5,12,10.111639976501465
74,6,12,10.062431335449219
74,7,12,10.42220687866211
74,8,12,8.676424026489258
74,9,12,10.356207847595215
74,10,12,9.350645065307617
74,11,12,11.9403076171875
74,12,12,12.41342830657959
75,1,12,10.97101879119873
75,2,12,8.92429256439209
75,3,12,8.417353630065918
75,4,12,8.118176460266113
75,5,12,12.377326965332031
75,6,12,11.741641998291016
75,7,12,11.550436019897461
75,8,12,12.211225509643555
75,9,12,12.085708618164062
75,10,12,12.011062622070312
75,11,12,12.118136405944824
75,12,12,11.976420402526855
76,1,7,0.0
76,2,7,12.706689834594727
76,3,7,11.905425071716309
76,4,7,11.865386009216309
76,5,7,11.190139770507812
76,6,7,9.824897766113281
76,7,7,9.913788795471191
76,8,7,12.37824535369873
76,9,7,13.039199829101562
76,10,7,13.020779609680176
76,11,7,13.278277397155762
76,12,7,13.114544868469238
77,1,5,0.0
77,2,5,8.465068817138672
77,3,5,6.641744136810303
77,4,5,14.185970306396484
77,5,5,8.660178184509277
77,6,5,4.302000522613525
77,7,5,8.585433006286621
77,8,5,8.815385818481445
77,9,5,9.703603744506836
77,10,5,8.021350860595703
77,11,5,9.298802375793457
77,12,5,7.627651691436768
78,1,12,7.5848188400268555
78,2,12,8.527071952819824
78,3,12,8.841048240661621
78,4,12,8.831253051757812
78,5,12,9.414081573486328
78,6,12,8.697932243347168
78,7,12,8.837381362915039
78,8,12,6.0143890380859375
78,9,12,8.763310432434082
78,10,12,5.774992942810059
78,11,12,7.435849666595459
78,12,12,9.279641151428223
79,1,11,11.919448852539062
79,2,11,11.303604125976562
79,3,11,12.420241355895996
79,4,11,12.232635498046875
79,5,11,12.156705856323242
79,6,11,12.44055461883545
79,7,11,12.385272979736328
79,8,11,12.437932014465332
79,9,11,12.31261920928955
79,10,11,12.484599113464355
79,11,11,12.361282348632812
79,12,11,12.284974098205566
80,1,11,9.134644508361816
80,2,11,11.166281700134277
80,3,11,9.469439506530762
80,4,11,11.090680122375488
80,5,11,11.02701473236084
80,6,11,12.076685905456543
80,7,11,11.376721382141113
80,8,11,12.012578010559082
80,9,11,12.070369720458984
80,10,11,11.480037689208984
80,11,11,12.331673622131348
80,12,11,11.570748329162598
81,1,11,10.401058197021484
81,2,11,10.684502601623535
81,3,11,10.55920124053955
81,4,11,11.057350158691406
81,5,11,10.993685722351074
81,6,11,11.276394844055176
81,7,11,11.490091323852539
81,8,11,10.9898042678833
81,9,11,11.260309219360352
81,10,11,11.133742332458496
81,11,11,11.617106437683105
81,12,11,11.48659896850586
82,1,7,8.388195037841797
82,2,7,9.639355659484863
82,3,7,9.689157485961914
82,4,7,9.966965675354004
82,5,7,10.304566383361816
82,6,7,11.120550155639648
82,7,7,13.72602653503418
82,8,7,14.809796333312988
82,9,7,14.70358657836914
82,10,7,14.955270767211914
82,11,7,14.585206031799316
82,12,7,14.54572868347168
83,1,6,10.488090515136719
83,2,6,10.067854881286621
83,3,6,11.769145011901855
83,4,6,9.82780933380127
83,5,6,9.511091232299805
83,6,6,10.522369384765625
83,7,6,12.060039520263672
83,8,6,11.872214317321777
83,9,6,12.466681480407715
83,10,6,9.216036796569824
83,11,6,11.471051216125488
83,12,6,11.439833641052246
84,1,2,13.999242782592773
84,2,2,13.954024314880371
84,3,2,14.623626708984375
84,4,2,14.351615905761719
84,5,2,14.407106399536133
84,6,2,14.561264991760254
84,7,2,14.962546348571777
84,8,2,14.982803344726562
84,9,2,15.023354530334473
84,10,2,15.340496063232422
84,11,2,15.47311019897461
84,12,2,15.40115737915039
85,1,6,9.617502212524414
85,2,6,10.179988861083984
85,3,6,9.052787780761719
85,4,6,9.973132133483887
85,5,6,10.7802734375
85,6,6,10.497840881347656
85,7,6,11.390876770019531
